# NACA 0009
# Generated polar data using simplified physics model
# Re = 0.100 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.460147   +0.035669    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.414232   +0.033680    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.368286   +0.032058    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.322311   +0.030803    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.276312   +0.029915    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.230292   +0.029270    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.184255   +0.028741    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.138204   +0.028330    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.092142   +0.028037    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.046073   +0.027861    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.027802    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.046073   +0.027861    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.092142   +0.028037    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.138204   +0.028330    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.184255   +0.028741    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.230292   +0.029270    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.276312   +0.029915    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.322311   +0.030678    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.368286   +0.031558    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.414232   +0.032555    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.460147   +0.033669    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.506026   +0.034900    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.551867   +0.036248    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.597666   +0.037712    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.643420   +0.039292    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.689125   +0.040988    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.734777   +0.042801    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.780373   +0.044729    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.825910   +0.046773    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.871384   +0.048933    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.916791   +0.051207    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.962129   +0.053596    0.000000    0.000000   0.000000   0.000000
 +11.00   +1.007393   +0.056100    0.000000    0.000000   0.000000   0.000000
 +11.50   +1.052581   +0.058719    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.097688   +0.061451    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.142712   +0.064297    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.187649   +0.067257    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.232496   +0.070330    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.277248   +0.073516    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.317967   +0.076960    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.324889   +0.080105    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.334660   +0.083903    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.347021   +0.088347    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.361724   +0.093432    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.378540   +0.099156    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.397255   +0.105513    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.417670   +0.112500    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.439603   +0.120114    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.462886   +0.128352    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.487367   +0.137212    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.512906   +0.146691    0.000000    0.000000   0.000000   0.000000
