airfoil_id,name,geom_source,geom_source_url,family,is_generated
NACA_63(3)-218,NACA 63(3)-218,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(3)-618,NACA 63(3)-618,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(4)-221,NACA 63(4)-221,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(4)-421,NACA 63(4)-421,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
"NACA_63,3-418","NACA 63,3-418",UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63-206,NACA 63-206,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63-209,NACA 63-209,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63A210,NACA 63A210,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(1)-112,NACA 64(1)-112,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(2)-215,NACA 64(2)-215,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(2)-415,NACA 64(2)-415,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(3)-218,NACA 64(3)-218,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(3)-418,NACA 64(3)-418,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(3)-618,NACA 64(3)-618,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(4)-221,NACA 64(4)-221,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(4)-421,NACA 64(4)-421,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64-206,NACA 64-206,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64-208,NACA 64-208,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64-209,NACA 64-209,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64-210,NACA 64-210,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_6412,NACA 6412,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64A-010_10.0%,NACA 64A-010 10.0%,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64A210,NACA 64A210,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64A410,NACA 64A410,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(1)-212,NACA 65(1)-212,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(1)-212_a=0.6,NACA 65(1)-212 a=0.6,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(1)-412,NACA 65(1)-412,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(2)-215,NACA 65(2)-215,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(2)-415,NACA 65(2)-415,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(2)-415_a=0.5,NACA 65(2)-415 a=0.5,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(3)-218,NACA 65(3)-218,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(3)-618,NACA 65(3)-618,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(4)-221,NACA 65(4)-221,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(4)-421,NACA 65(4)-421,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65(4)-421_a=0.5,NACA 65(4)-421 a=0.5,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65-206,NACA 65-206,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65-209,NACA 65-209,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65-210,NACA 65-210,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_65-410,NACA 65-410,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66(1)-212,NACA 66(1)-212,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66(2)-215,NACA 66(2)-215,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66(2)-415,NACA 66(2)-415,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66(3)-218,NACA 66(3)-218,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66(3)-418,NACA 66(3)-418,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66(4)-221,NACA 66(4)-221,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66-018,NACA 66-018,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66-206,NACA 66-206,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66-209,NACA 66-209,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_66-210,NACA 66-210,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
"NACA_67,1-215","NACA 67,1-215",UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_747A315,NACA 747A315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_747A415,NACA 747A415,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
