NACA 1410
 1.0000000,0.0010500
 0.9928006,0.0021266
 0.9798895,0.0040317
 0.9635184,0.0064007
 0.9445469,0.0090825
 0.9234998,0.0119796
 0.9007495,0.0150212
 0.8765830,0.0181522
 0.8512328,0.0213280
 0.8248944,0.0245122
 0.7977362,0.0276737
 0.7699063,0.0307860
 0.7415373,0.0338259
 0.7127487,0.0367726
 0.6836500,0.0396075
 0.6543419,0.0423135
 0.6249182,0.0448746
 0.5954661,0.0472757
 0.5660677,0.0495029
 0.5368005,0.0515425
 0.5077378,0.0533821
 0.4789491,0.0550096
 0.4505011,0.0564139
 0.4224571,0.0575848
 0.3948782,0.0585124
 0.3678229,0.0591554
 0.3413476,0.0594928
 0.3155065,0.0595229
 0.2903524,0.0592458
 0.2659361,0.0586636
 0.2423068,0.0577802
 0.2195125,0.0566015
 0.1975998,0.0551353
 0.1766138,0.0533914
 0.1565988,0.0513812
 0.1375977,0.0491179
 0.1196525,0.0466160
 0.1028043,0.0438915
 0.0870931,0.0409611
 0.0725582,0.0378425
 0.0592379,0.0345536
 0.0471700,0.0311126
 0.0363913,0.0275372
 0.0269381,0.0238445
 0.0188458,0.0200505
 0.0121494,0.0161699
 0.0068832,0.0122154
 0.0030809,0.0081975
 0.0007756, 0.0041240
 0.0000000, 0.0000000
 0.0007756,-0.0040465
 0.0030809,-0.0078906
 0.0068832,-0.0115330
 0.0121494,-0.0149735
 0.0188458,-0.0182104
 0.0269381,-0.0212414
 0.0363913,-0.0240636
 0.0471700,-0.0266737
 0.0592379,-0.0290685
 0.0725582,-0.0312447
 0.0870931,-0.0331999
 0.1028043,-0.0349321
 0.1196525,-0.0364404
 0.1375977,-0.0377248
 0.1565988,-0.0387867
 0.1766138,-0.0396290
 0.1975998,-0.0402560
 0.2195125,-0.0406734
 0.2423068,-0.0408886
 0.2659361,-0.0409102
 0.2903524,-0.0407487
 0.3155065,-0.0404153
 0.3413476,-0.0399228
 0.3678229,-0.0392848
 0.3948782,-0.0385157
 0.4224571,-0.0376128
 0.4505011,-0.0365556
 0.4789491,-0.0353558
 0.5077378,-0.0340269
 0.5368005,-0.0325822
 0.5660677,-0.0310350
 0.5954661,-0.0293983
 0.6249182,-0.0276850
 0.6543419,-0.0259074
 0.6836500,-0.0240774
 0.7127487,-0.0222066
 0.7415373,-0.0203063
 0.7699063,-0.0183877
 0.7977362,-0.0164623
 0.8248944,-0.0145419
 0.8512328,-0.0126398
 0.8765830,-0.0107706
 0.9007495,-0.0089518
 0.9234998,-0.0072047
 0.9445469,-0.0055564
 0.9635184,-0.0040426
 0.9798895,-0.0027134
 0.9928006,-0.0016495
 1.0000000,-0.0010500
