NACA 0012-64 a=0.8 c(li)=0.2
1.000000,0.001200
0.980076,0.005909
0.960129,0.010522
0.940160,0.015031
0.920166,0.019430
0.900145,0.023711
0.880095,0.027867
0.860016,0.031875
0.839905,0.035715
0.819759,0.039363
0.799577,0.042798
0.779357,0.046005
0.759105,0.049002
0.738824,0.051808
0.718519,0.054447
0.698194,0.056938
0.677853,0.059294
0.657495,0.061494
0.637121,0.063514
0.616729,0.065329
0.596319,0.066916
0.575892,0.068264
0.555450,0.069395
0.534996,0.070334
0.514534,0.071106
0.494068,0.071738
0.473598,0.072241
0.453127,0.072605
0.432655,0.072814
0.412183,0.072855
0.391710,0.072715
0.371240,0.072385
0.350772,0.071869
0.330309,0.071167
0.309853,0.070283
0.289406,0.069218
0.268968,0.067972
0.248544,0.066539
0.228134,0.064915
0.207742,0.063094
0.187369,0.061070
0.167022,0.058802
0.146710,0.056223
0.126448,0.053260
0.106262,0.049833
0.086182,0.045859
0.066226,0.041252
0.046530,0.035690
0.027392,0.028457
0.009736,0.018178
0.000000,0.000000
0.019042,-0.007257
0.039439,-0.009837
0.059606,-0.013436
0.079678,-0.017723
0.099930,-0.021004
0.120355,-0.022745
0.140855,-0.023779
0.161317,-0.025290
0.181715,-0.027514
0.202110,-0.029673
0.222555,-0.031137
0.243045,-0.031983
0.263564,-0.032452
0.284095,-0.032783
0.304621,-0.033214
0.325132,-0.033888
0.345630,-0.034722
0.366123,-0.035598
0.386616,-0.036399
0.407115,-0.037008
0.427623,-0.037366
0.448136,-0.037509
0.468653,-0.037482
0.489171,-0.037328
0.509687,-0.037091
0.530200,-0.036791
0.550710,-0.036425
0.571219,-0.035988
0.591725,-0.035477
0.612231,-0.034887
0.632735,-0.034211
0.653236,-0.033439
0.673732,-0.032562
0.694220,-0.031571
0.714700,-0.030460
0.735175,-0.029261
0.755648,-0.028021
0.776126,-0.026788
0.796613,-0.025610
0.817111,-0.024513
0.837608,-0.023388
0.858087,-0.022083
0.878531,-0.020444
0.898923,-0.018320
0.919250,-0.015603
0.939515,-0.012378
0.959724,-0.008780
0.979883,-0.004943
1.000000,-0.001000
