NACA 64-206
1.000000,0.000000
0.979544,0.001955
0.959087,0.003885
0.938627,0.005800
0.918168,0.007711
0.897709,0.009630
0.877251,0.011559
0.856792,0.013484
0.836332,0.015387
0.815869,0.017264
0.795404,0.019115
0.774936,0.020936
0.754464,0.022712
0.733987,0.024427
0.713505,0.026080
0.693018,0.027675
0.672527,0.029208
0.652030,0.030673
0.631528,0.032060
0.611021,0.033365
0.590508,0.034580
0.569990,0.035702
0.549467,0.036729
0.528939,0.037658
0.508407,0.038478
0.487870,0.039178
0.467329,0.039753
0.446785,0.040200
0.426238,0.040511
0.405690,0.040654
0.385141,0.040601
0.364593,0.040368
0.344047,0.039996
0.323504,0.039511
0.302965,0.038902
0.282429,0.038158
0.261899,0.037274
0.241376,0.036243
0.220861,0.035064
0.200355,0.033734
0.179860,0.032246
0.159379,0.030583
0.138913,0.028723
0.118470,0.026635
0.098056,0.024285
0.077680,0.021625
0.057360,0.018559
0.037148,0.014880
0.017126,0.010210
-0.000000,-0.000000
0.018125,-0.007358
0.038049,-0.009723
0.058025,-0.011455
0.078035,-0.012817
0.098058,-0.013964
0.118089,-0.014940
0.138127,-0.015776
0.158170,-0.016502
0.178215,-0.017139
0.198263,-0.017692
0.218313,-0.018165
0.238364,-0.018564
0.258417,-0.018891
0.278471,-0.019149
0.298525,-0.019336
0.318580,-0.019453
0.338635,-0.019505
0.358691,-0.019502
0.378746,-0.019432
0.398801,-0.019257
0.418853,-0.018947
0.438904,-0.018519
0.458953,-0.018002
0.479000,-0.017412
0.499044,-0.016753
0.519087,-0.016027
0.539127,-0.015243
0.559165,-0.014411
0.579201,-0.013538
0.599236,-0.012628
0.619269,-0.011687
0.639301,-0.010718
0.659332,-0.009725
0.679361,-0.008715
0.699391,-0.007699
0.719421,-0.006687
0.739451,-0.005683
0.759482,-0.004689
0.779513,-0.003714
0.799546,-0.002770
0.819582,-0.001871
0.839620,-0.001035
0.859660,-0.000280
0.879705,0.000380
0.899753,0.000938
0.919806,0.001369
0.939860,0.001589
0.959913,0.001501
0.979961,0.001004
1.000000,0.000000
