# NACA_747A415
# Generated polar data using simplified physics model
# Re = 0.070 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.468622   +0.044115    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.421862   +0.042111    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.375069   +0.040476    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.328248   +0.039209    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.281402   +0.038311    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.234534   +0.037657    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.187649   +0.037121    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.140749   +0.036705    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.093839   +0.036407    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.046921   +0.036229    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.036169    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.046921   +0.036229    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.093839   +0.036407    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.140749   +0.036705    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.187649   +0.037121    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.234534   +0.037657    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.281402   +0.038311    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.328248   +0.039084    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.375069   +0.039976    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.421862   +0.040986    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.468622   +0.042115    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.515347   +0.043362    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.562032   +0.044728    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.608675   +0.046211    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.655271   +0.047813    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.701818   +0.049532    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.748311   +0.051369    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.794747   +0.053323    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.841122   +0.055394    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.887434   +0.057582    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.933678   +0.059887    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.979851   +0.062308    0.000000    0.000000   0.000000   0.000000
 +11.00   +1.025949   -0.095407    0.000000    0.000000   0.000000   0.000000
 +11.50   +1.071969   +0.067498    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.117907   +0.070266    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.163760   +0.073150    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.209525   +0.076149    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.255197   +0.079262    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.300774   +0.082489    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.346252   +0.086080    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.391628   +0.090285    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.436897   +0.095103    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.482057   +0.100534    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.513665   +0.106168    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.516333   +0.111512    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.522493   +0.117536    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.531791   +0.124233    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.543901   +0.131593    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.558522   +0.139609    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.575382   +0.148275    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.594232   +0.157585    0.000000    0.000000   0.000000   0.000000
